Result Set,Metric,Mean,Median,Min,Max,StdDev
1,duration,63.33,62.94,58.97,67.40,3.47
1,distance,853.07,847.90,799.44,926.16,51.27
1,speed,13.53,13.47,11.86,15.13,1.48
2,duration,68.72,70.06,60.95,72.05,4.42
2,distance,874.93,925.41,750.00,975.55,96.31
2,speed,12.79,13.26,10.71,15.18,1.81
3,duration,44.37,44.98,41.79,46.42,1.78
3,distance,762.45,750.00,750.00,793.69,19.22
3,speed,17.20,17.64,16.16,17.95,0.78
4,duration,43.53,43.88,39.91,45.85,2.55
4,distance,829.66,834.85,796.11,852.47,21.47
4,speed,19.10,18.77,18.35,20.92,1.03
